activation,optimizer,loss,epochs,batch-size,learning-rate,layers,kernel-shape,pooling,isGray,isNorm,Dropout,L1,L2
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.001,0.001
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.001,0.001
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.3,0.0,0.0
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.0,0.0
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.0,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.0,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.3,0.001,0.0
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.0
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.0
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.3,0.001,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.3,0.001,0.001
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.3,0.001,0.001
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.3,0.001,0.001
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.0,0.0
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.01,0.0
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.2,0.01,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.01,0.01
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.2,0.01,0.01
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.01,0.01
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.1,0.0,0.0
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.0,0.0
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.0,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.0,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.1,0.001,0.0
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.0
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.0
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.1,0.001,0.0
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.1,0.001,0.001
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.001
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.001
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.001
