activation,optimizer,loss,epochs,batch-size,learning-rate,layers,kernel-shape,pooling,isGray,isNorm,Dropout,L1,L2,last_loss, last_val_loss, last_accuracy, last_val_accuracy
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0,2.40892,2.39238,0.1012,0.0952
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0,2.51702,2.51632,0.1012,0.0952
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0,2.39501,2.39019,0.1012,0.0952
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.01,0.0,2.65315,2.65309,0.1012,0.0952
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0,0.50855,0.84659,0.8285,0.7118
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0,0.33166,0.64536,0.8926,0.7866
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0,0.506,0.73495,0.83038,0.745
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.0,0.0,0.07226,0.66886,0.98707,0.7968
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.3,0.001,0.001,1.41897,1.35609,0.59158,0.6204
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001,2.16882,2.121,0.4799,0.4867
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001,1.43681,1.38867,0.57125,0.5926
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001,1.40263,1.42392,0.57708,0.5662
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.3,0.001,0.001,2.04255,1.99782,0.45162,0.4609
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.3,0.001,0.0,1.44143,1.38578,0.58947,0.6221
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.0,2.23101,2.20867,0.4778,0.4671
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.0,1.43499,1.38337,0.56675,0.5873
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.0,1.49757,1.5193,0.53683,0.5386
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.3,0.001,0.0,2.0819,2.01981,0.45748,0.4696
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.0,0.0,0.23241,0.73268,0.92878,0.7663
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.0,0.0,0.47797,0.7472,0.84085,0.7469
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.0,0.0,0.17907,0.64895,0.94905,0.7954
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.3,0.0,0.0,0.045,0.70954,0.99365,0.7977
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.1,0.001,0.001,6.90696,6.82409,0.5363,0.5184
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.001,0.001,2.55569,2.48544,0.50397,0.5073
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.001,0.001,1.36104,1.36543,0.60478,0.5953
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.001,0.001,1.32201,1.34309,0.6113,0.6029
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.1,0.001,0.001,2.14856,2.08574,0.47592,0.48
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.1,0.001,0.0,5.75864,5.70684,0.54287,0.5197
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.001,0.0,2.52375,2.47237,0.50397,0.5038
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.001,0.0,1.27633,1.27452,0.63617,0.6362
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.001,0.0,1.22883,1.29273,0.64697,0.6276
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.1,0.001,0.0,2.33263,2.23682,0.47455,0.4808
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.0,0.0,0.05766,0.7368,0.9933,0.7844
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.0,0.0,0.16448,0.63792,0.96433,0.791
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.1,0.0,0.0,0.08,0.68312,0.98763,0.7917
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.1,0.0,0.0,0.0114,0.69585,0.99988,0.8089
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.2,0.01,0.01,12.33597,11.31017,0.31363,0.3264
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.01,0.01,2.49912,2.49948,0.1008,0.098
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.01,0.01,2.78282,2.78184,0.09875,0.0952
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.01,0.01,2.49945,2.49872,0.09978,0.0952
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.2,0.01,0.01,3.10582,3.10601,0.1012,0.0952
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.2,0.01,0.0,9.542,8.82545,0.31093,0.2865
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.01,0.0,2.49927,2.49905,0.09945,0.1022
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.01,0.0,2.79095,2.78973,0.09938,0.1025
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.01,0.0,2.50022,2.49981,0.1012,0.0952
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.2,0.01,0.0,3.1065,3.10582,0.1012,0.0952
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.0,0.0,0.1655,0.71597,0.95765,0.7737
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.0,0.0,0.37505,0.65113,0.88428,0.78
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.2,0.0,0.0,0.20741,0.65641,0.94133,0.7886
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,3,max_pool,False,False,0.2,0.0,0.0,0.01735,0.72289,0.99885,0.8032
